"curve","year","ind","values","area_km","area_km_e","archipelago"
-118,-22000,"AP0000019",2533703622.03126,2533.70362203126,166776.173129172,"Society"
-112,-23000,"AP0000020",2516321884.78295,2516.32188478295,166776.173129172,"Society"
-105,-24000,"AP0000021",2499555350.67258,2499.55535067258,166776.173129172,"Society"
-98,-25000,"AP0000022",2482174622.31699,2482.17462231699,166776.173129172,"Society"
-93,-26000,"AP0000012",2464984416.35237,2464.98441635237,166776.173129172,"Society"
-90,-27000,"AP0000023",2457205934.15783,2457.20593415783,166776.173129172,"Society"
-87,-28000,"AP0000024",2449222679.34038,2449.22267934038,166776.173129172,"Society"
-84,-29000,"AP0000025",2437567594.83791,2437.56759483791,166776.173129172,"Society"
-81,-30000,"AP0000026",2427539079.77577,2427.53907977577,166776.173129172,"Society"
-79,-31000,"AP0000027",2420579305.92395,2420.57930592395,166776.173129172,"Society"
-76,-32000,"AP0000010",2414237573.67727,2414.23757367727,166776.173129172,"Society"
-75,-33000,"AP0000028",2410959942.65419,2410.95994265419,166776.173129172,"Society"
-73,-34000,"AP0000029",2404823994.08031,2404.82399408031,166776.173129172,"Society"
-72,-35000,"AP0000030",2401551740.98106,2401.55174098106,166776.173129172,"Society"
-72,-36000,"AP0000030",2401551740.98106,2401.55174098106,166776.173129172,"Society"
-72,-37000,"AP0000030",2401551740.98106,2401.55174098106,166776.173129172,"Society"
-72,-38000,"AP0000030",2401551740.98106,2401.55174098106,166776.173129172,"Society"
-74,-39000,"AP0000031",2408914099.08688,2408.91409908688,166776.173129172,"Society"
-76,-40000,"AP0000010",2414237573.67727,2414.23757367727,166776.173129172,"Society"
-78,-41000,"AP0000032",2418330310.25519,2418.33031025519,166776.173129172,"Society"
-80,-42000,"AP0000033",2424261340.90996,2424.26134090996,166776.173129172,"Society"
-82,-43000,"AP0000034",2431631767.3861,2431.6317673861,166776.173129172,"Society"
-84,-44000,"AP0000025",2437567594.83791,2437.56759483791,166776.173129172,"Society"
-85,-45000,"AP0000011",2441246482.25192,2441.24648225192,166776.173129172,"Society"
-86,-46000,"AP0000035",2445951138.63469,2445.95113863469,166776.173129172,"Society"
-86,-47000,"AP0000035",2445951138.63469,2445.95113863469,166776.173129172,"Society"
-86,-48000,"AP0000035",2445951138.63469,2445.95113863469,166776.173129172,"Society"
-86,-49000,"AP0000035",2445951138.63469,2445.95113863469,166776.173129172,"Society"
-86,-50000,"AP0000035",2445951138.63469,2445.95113863469,166776.173129172,"Society"
-86,-51000,"AP0000035",2445951138.63469,2445.95113863469,166776.173129172,"Society"
-85,-52000,"AP0000011",2441246482.25192,2441.24648225192,166776.173129172,"Society"
-85,-53000,"AP0000011",2441246482.25192,2441.24648225192,166776.173129172,"Society"
-85,-54000,"AP0000011",2441246482.25192,2441.24648225192,166776.173129172,"Society"
-84,-55000,"AP0000025",2437567594.83791,2437.56759483791,166776.173129172,"Society"
-83,-56000,"AP0000036",2433676844.65061,2433.67684465061,166776.173129172,"Society"
-82,-57000,"AP0000034",2431631767.3861,2431.6317673861,166776.173129172,"Society"
-80,-58000,"AP0000033",2424261340.90996,2424.26134090996,166776.173129172,"Society"
-79,-59000,"AP0000027",2420579305.92395,2420.57930592395,166776.173129172,"Society"
-78,-60000,"AP0000032",2418330310.25519,2418.33031025519,166776.173129172,"Society"
-77,-61000,"AP0000037",2415873851.16092,2415.87385116092,166776.173129172,"Society"
-77,-62000,"AP0000037",2415873851.16092,2415.87385116092,166776.173129172,"Society"
-77,-63000,"AP0000037",2415873851.16092,2415.87385116092,166776.173129172,"Society"
-78,-64000,"AP0000032",2418330310.25519,2418.33031025519,166776.173129172,"Society"
-79,-65000,"AP0000027",2420579305.92395,2420.57930592395,166776.173129172,"Society"
-81,-66000,"AP0000026",2427539079.77577,2427.53907977577,166776.173129172,"Society"
-82,-67000,"AP0000034",2431631767.3861,2431.6317673861,166776.173129172,"Society"
-82,-68000,"AP0000034",2431631767.3861,2431.6317673861,166776.173129172,"Society"
-81,-69000,"AP0000026",2427539079.77577,2427.53907977577,166776.173129172,"Society"
